"line","enviro","col","gen","data"
14,4,10,"t0",0.452
14,4,11,"t0",0.564
14,4,12,"t0",0.514
14,1,1,"t0",1.161
14,1,2,"t0",1.014
14,1,3,"t0",1.09
14,1,4,"t0",0.955
14,1,5,"t0",1.089
14,1,6,"t0",0.827
14,1,7,"t0",0.754
14,1,8,"t0",0.712
14,1,9,"t0",0.646
14,1,10,"t0",0.863
14,1,11,"t0",0.68
14,1,12,"t0",0.799
15,0,1,"t0",1.642
15,0,2,"t0",1.587
15,0,3,"t0",1.594
15,0,4,"t0",1.603
15,0,5,"t0",1.584
15,0,6,"t0",1.585
15,0,7,"t0",1.599
15,0,8,"t0",1.608
15,0,9,"t0",1.581
15,0,10,"t0",1.574
15,0,11,"t0",1.601
15,0,12,"t0",1.625
15,1,1,"t0",1.155
15,1,2,"t0",1.243
15,1,3,"t0",1.309
15,1,4,"t0",1.24
15,1,5,"t0",1.357
15,1,6,"t0",1.358
15,1,7,"t0",1.053
15,1,8,"t0",1.006
15,1,9,"t0",1.242
15,1,10,"t0",1.277
15,1,11,"t0",1.029
15,1,12,"t0",0.913
15,4,1,"t0",0.116
15,4,2,"t0",0.188
15,4,3,"t0",0.256
15,4,4,"t0",0.309
15,4,5,"t0",0.199
15,4,6,"t0",0.328
15,4,7,"t0",0.215
15,4,8,"t0",0.318
15,4,9,"t0",0.317
15,4,10,"t0",0.332
15,4,11,"t0",0.328
15,4,12,"t0",0.27
15,1,1,"t0",0.923
15,1,2,"t0",0.976
15,1,3,"t0",1.375
15,1,4,"t0",1.248
15,1,5,"t0",1.437
15,1,6,"t0",1.599
15,1,7,"t0",0.696
15,1,8,"t0",0.97
15,1,9,"t0",1.436
15,1,10,"t0",0.989
15,1,11,"t0",1.285
15,1,12,"t0",0.91
16,0,1,"t0",1.724
16,0,2,"t0",1.665
16,0,3,"t0",1.677
16,0,4,"t0",1.658
16,0,5,"t0",1.662
16,0,6,"t0",1.667
16,0,7,"t0",1.641
16,0,8,"t0",1.692
16,0,9,"t0",1.657
16,0,10,"t0",1.648
16,0,11,"t0",1.674
16,0,12,"t0",1.685
16,1,1,"t0",1.185
16,1,2,"t0",1.208
16,1,3,"t0",1.195
16,1,4,"t0",1.38
16,1,5,"t0",1.364
16,1,6,"t0",1.253
16,1,7,"t0",1.179
16,1,8,"t0",1.259
16,1,9,"t0",1.121
16,1,10,"t0",1.328
16,1,11,"t0",1.137
16,1,12,"t0",1.372
16,4,1,"t0",0.564
16,4,2,"t0",0.551
16,4,3,"t0",0.57
16,4,4,"t0",0.589
16,4,5,"t0",0.484
16,4,6,"t0",0.479
16,4,7,"t0",0.375
16,4,8,"t0",0.582
16,4,9,"t0",0.48
16,4,10,"t0",0.504
16,4,11,"t0",0.424
16,4,12,"t0",0.727
16,1,1,"t0",1.211
16,1,2,"t0",1.368
16,1,3,"t0",1.244
16,1,4,"t0",1.422
16,1,5,"t0",1.439
16,1,6,"t0",1.185
16,1,7,"t0",1.225
16,1,8,"t0",1.473
16,1,9,"t0",1.252
16,1,10,"t0",1.426
16,1,11,"t0",1.149
16,1,12,"t0",1.402
17,0,1,"t0",1.699
17,0,2,"t0",1.69
17,0,3,"t0",1.699
17,0,4,"t0",1.712
17,0,5,"t0",1.671
17,0,6,"t0",1.677
17,0,7,"t0",1.675
17,0,8,"t0",1.728
17,0,9,"t0",1.672
17,0,10,"t0",1.672
17,0,11,"t0",1.685
17,0,12,"t0",1.669
17,1,1,"t0",0.836
17,1,2,"t0",0.641
17,1,3,"t0",0.65
17,1,4,"t0",0.574
17,1,5,"t0",0.474
17,1,6,"t0",0.739
17,1,7,"t0",0.548
17,1,8,"t0",0.824
17,1,9,"t0",0.68
17,1,10,"t0",0.758
17,1,11,"t0",0.59
17,1,12,"t0",0.714
17,4,1,"t0",0.38
17,4,2,"t0",0.16
17,4,3,"t0",0.415
17,4,4,"t0",0.308
17,4,5,"t0",0.215
17,4,6,"t0",0.295
17,4,7,"t0",0.097
17,4,8,"t0",0.32
17,4,9,"t0",0.248
17,4,10,"t0",0.342
17,4,11,"t0",0.536
17,4,12,"t0",0.183
17,1,1,"t0",0.488
17,1,2,"t0",0.61
17,1,3,"t0",0.539
17,1,4,"t0",0.596
17,1,5,"t0",0.473
17,1,6,"t0",0.634
17,1,7,"t0",0.718
17,1,8,"t0",0.697
17,1,9,"t0",0.574
17,1,10,"t0",0.683
17,1,11,"t0",0.664
17,1,12,"t0",0.74
18,0,1,"t0",1.705
18,0,2,"t0",1.703
