"line","enviro","rep","gen","data","time"
"16",0,3,"t0d",1.4965,24
"16",0,4,"t0d",1.4295,24
"16",0,5,"t0d",1.427,24
"16",0,6,"t0d",1.4085,24
"16",0,7,"t0d",1.4335,24
"16",0,8,"t0d",1.4575,24
"16",0,9,"t0d",1.454,24
"16",0,10,"t0d",1.1855,24
"16",0,11,"t0d",1.4425,24
"16",0,12,"t0d",1.413,24
"16",1,1,"t0d",0.2775,24
"16",1,2,"t0d",0.307,24
"16",1,3,"t0d",0.4315,24
"16",1,4,"t0d",0.2365,24
"16",1,5,"t0d",0.224,24
"16",1,6,"t0d",0.2465,24
"16",1,7,"t0d",0.3465,24
"16",1,8,"t0d",0.3535,24
"16",1,9,"t0d",0.3595,24
"16",1,10,"t0d",0.086,24
"16",1,11,"t0d",0.271,24
"16",1,12,"t0d",0.2505,24
"16",128,1,"t0d",0.2215,24
"16",128,2,"t0d",0.199,24
"16",128,3,"t0d",0.352,24
"16",128,4,"t0d",0.158,24
"16",128,5,"t0d",0.122,24
"16",128,6,"t0d",0.1595,24
