"line","rep","enviro","data","exper"
18,12,1,1.837,"4"
18,12,8,1.246,"4"
18,12,32,1.299,"4"
19,1,0,1.947,"4"
19,1,1,1.43,"4"
19,1,8,0.546,"4"
19,1,32,0.501,"4"
19,2,0,1.928,"4"
19,2,1,1.604,"4"
19,2,8,0.661,"4"
19,2,32,0.727,"4"
19,3,0,1.93,"4"
19,3,1,1.522,"4"
19,3,8,0.644,"4"
19,3,32,0.318,"4"
19,4,0,1.941,"4"
19,4,1,1.141,"4"
19,4,8,0.519,"4"
19,4,32,0.307,"4"
19,5,0,1.936,"4"
19,5,1,1.18,"4"
19,5,8,0.617,"4"
19,5,32,0.557,"4"
19,6,0,1.921,"4"
19,6,1,1.329,"4"
19,6,8,0.576,"4"
19,6,32,0.503,"4"
19,7,0,1.915,"4"
19,7,1,1.293,"4"
19,7,8,0.71,"4"
19,7,32,0.527,"4"
19,8,0,1.887,"4"
19,8,1,1.52,"4"
19,8,8,0.56,"4"
19,8,32,0.412,"4"
19,9,0,1.888,"4"
19,9,1,1.335,"4"
19,9,8,0.638,"4"
19,9,32,0.471,"4"
19,10,0,1.893,"4"
19,10,1,1.499,"4"
19,10,8,0.6,"4"
19,10,32,0.63,"4"
19,11,0,1.894,"4"
19,11,1,1.047,"4"
19,11,8,0.673,"4"
19,11,32,0.742,"4"
19,12,0,1.845,"4"
19,12,1,0.956,"4"
19,12,8,0.514,"4"
19,12,32,0.417,"4"
20,1,0,1.904,"4"
20,1,1,1.817,"4"
20,1,8,0.565,"4"
20,1,32,0.623,"4"
20,2,0,1.888,"4"
20,2,1,1.78,"4"
20,2,8,0.616,"4"
20,2,32,0.517,"4"
20,3,0,1.865,"4"
20,3,1,1.748,"4"
20,3,8,0.548,"4"
20,3,32,0.786,"4"
20,4,0,1.879,"4"
20,4,1,1.789,"4"
20,4,8,0.53,"4"
20,4,32,0.394,"4"
20,5,0,1.858,"4"
20,5,1,1.756,"4"
20,5,8,0.561,"4"
20,5,32,0.346,"4"
20,6,0,1.863,"4"
20,6,1,1.744,"4"
20,6,8,0.621,"4"
20,6,32,0.566,"4"
20,7,0,1.84,"4"
20,7,1,1.715,"4"
20,7,8,0.595,"4"
20,7,32,0.455,"4"
20,8,0,1.83,"4"
20,8,1,1.695,"4"
20,8,8,0.735,"4"
20,8,32,0.766,"4"
20,9,0,1.826,"4"
20,9,1,1.697,"4"
20,9,8,0.76,"4"
20,9,32,0.601,"4"
20,10,0,1.807,"4"
20,10,1,1.718,"4"
20,10,8,0.669,"4"
20,10,32,0.681,"4"
20,11,0,1.792,"4"
20,11,1,1.664,"4"
20,11,8,0.576,"4"
20,11,32,0.516,"4"
20,12,0,1.71,"4"
20,12,1,1.69,"4"
20,12,8,0.686,"4"
20,12,32,0.509,"4"
1,1,0,1.78,"4b"
1,1,0.5,1.767,"4b"
1,1,1,1.796,"4b"
1,1,4,1.663,"4b"
1,2,0,1.759,"4b"
1,2,0.5,1.748,"4b"
1,2,1,1.767,"4b"
1,2,4,1.676,"4b"
1,3,0,1.758,"4b"
1,3,0.5,1.784,"4b"
1,3,1,1.766,"4b"
1,3,4,1.66,"4b"
1,4,0,1.785,"4b"
1,4,0.5,1.745,"4b"
1,4,1,1.807,"4b"
1,4,4,1.698,"4b"
1,5,0,1.73,"4b"
1,5,0.5,1.728,"4b"
1,5,1,1.76,"4b"
1,5,4,1.627,"4b"
1,6,0,1.74,"4b"
1,6,0.5,1.736,"4b"
1,6,1,1.769,"4b"
1,6,4,1.603,"4b"
1,7,0,1.733,"4b"
1,7,0.5,1.749,"4b"
1,7,1,1.762,"4b"
1,7,4,1.652,"4b"
1,8,0,1.777,"4b"
