"line","rep","enviro","dataM","exper"
18,5,32,0.255,"4"
18,6,0,1.75,"4"
18,6,1,1.747,"4"
18,6,8,0.332,"4"
18,6,32,0.268,"4"
18,7,0,1.761,"4"
18,7,1,1.751,"4"
18,7,8,0.341,"4"
18,7,32,0.228,"4"
18,8,0,1.727,"4"
18,8,1,1.731,"4"
18,8,8,0.24,"4"
18,8,32,0.292,"4"
18,9,0,1.733,"4"
18,9,1,1.765,"4"
18,9,8,0.312,"4"
18,9,32,0.224,"4"
18,10,0,1.667,"4"
18,10,1,1.731,"4"
18,10,8,0.227,"4"
18,10,32,0.213,"4"
18,11,0,1.728,"4"
18,11,1,1.758,"4"
18,11,8,0.285,"4"
18,11,32,0.245,"4"
18,12,0,1.697,"4"
18,12,1,1.759,"4"
18,12,8,0.23,"4"
18,12,32,0.216,"4"
19,1,0,1.325,"4"
19,1,1,1.188,"4"
19,1,8,0.178,"4"
19,1,32,0.183,"4"
19,2,0,1.666,"4"
19,2,1,1.468,"4"
19,2,8,0.214,"4"
19,2,32,0.218,"4"
19,3,0,1.484,"4"
19,3,1,1.141,"4"
19,3,8,0.248,"4"
19,3,32,0.262,"4"
19,4,0,1.541,"4"
19,4,1,1.66,"4"
19,4,8,0.207,"4"
19,4,32,0.278,"4"
19,5,0,0.821,"4"
19,5,1,0.94,"4"
19,5,8,0.229,"4"
19,5,32,0.201,"4"
19,6,0,0.948,"4"
19,6,1,0.754,"4"
19,6,8,0.205,"4"
19,6,32,0.189,"4"
19,7,0,1.465,"4"
19,7,1,1.609,"4"
19,7,8,0.173,"4"
19,7,32,0.147,"4"
19,8,0,1.844,"4"
19,8,1,1.9,"4"
19,8,8,1.935,"4"
19,8,32,1.968,"4"
19,9,0,1.189,"4"
19,9,1,1.48,"4"
19,9,8,0.506,"4"
19,9,32,0.381,"4"
19,10,0,1.495,"4"
19,10,1,1.06,"4"
19,10,8,0.25,"4"
19,10,32,0.254,"4"
19,11,0,1.137,"4"
19,11,1,0.853,"4"
19,11,8,0.17,"4"
19,11,32,0.161,"4"
19,12,0,1.08,"4"
19,12,1,0.832,"4"
19,12,8,0.196,"4"
19,12,32,0.196,"4"
20,1,0,1.603,"4"
20,1,1,1.633,"4"
20,1,8,0.157,"4"
20,1,32,0.147,"4"
20,2,0,1.729,"4"
20,2,1,1.64,"4"
20,2,8,0.177,"4"
20,2,32,0.18,"4"
20,3,0,1.606,"4"
20,3,1,1.612,"4"
20,3,8,0.17,"4"
20,3,32,0.164,"4"
20,4,0,1.642,"4"
20,4,1,1.675,"4"
20,4,8,0.172,"4"
20,4,32,0.149,"4"
20,5,0,1.695,"4"
20,5,1,1.688,"4"
20,5,8,0.176,"4"
20,5,32,0.149,"4"
20,6,0,1.666,"4"
20,6,1,1.651,"4"
20,6,8,0.167,"4"
20,6,32,0.148,"4"
20,7,0,1.751,"4"
20,7,1,1.736,"4"
20,7,8,0.172,"4"
20,7,32,0.146,"4"
20,8,0,1.693,"4"
20,8,1,1.656,"4"
20,8,8,0.173,"4"
20,8,32,0.173,"4"
20,9,0,1.574,"4"
20,9,1,1.576,"4"
20,9,8,0.163,"4"
20,9,32,0.131,"4"
20,10,0,1.617,"4"
20,10,1,1.642,"4"
20,10,8,0.146,"4"
20,10,32,0.139,"4"
20,11,0,1.711,"4"
20,11,1,1.524,"4"
20,11,8,0.169,"4"
20,11,32,0.141,"4"
20,12,0,1.724,"4"
20,12,1,1.741,"4"
20,12,8,0.181,"4"
20,12,32,0.154,"4"
1,1,0,1.611,"4b"
1,1,0.5,1.583,"4b"
1,1,1,1.618,"4b"
1,1,4,1.274,"4b"
1,2,0,1.561,"4b"
1,2,0.5,1.557,"4b"
1,2,1,1.569,"4b"
1,2,4,1.235,"4b"
1,3,0,1.496,"4b"
1,3,0.5,1.492,"4b"
1,3,1,1.543,"4b"
1,3,4,1.062,"4b"
1,4,0,1.607,"4b"
1,4,0.5,1.561,"4b"
1,4,1,1.621,"4b"
1,4,4,1.151,"4b"
1,5,0,1.489,"4b"
1,5,0.5,1.499,"4b"
1,5,1,1.543,"4b"
1,5,4,1.063,"4b"
1,6,0,1.534,"4b"
1,6,0.5,1.53,"4b"
1,6,1,1.562,"4b"
1,6,4,1.223,"4b"
1,7,0,1.498,"4b"
1,7,0.5,1.475,"4b"
1,7,1,1.542,"4b"
1,7,4,0.996,"4b"
1,8,0,1.587,"4b"
